,CustomerID,Churn,Tenure,CityTier,WarehouseToHome,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount
CustomerID,1.0,-0.019082773336414015,0.02995168763708954,0.0032388613251650186,0.05890948548877683,0.5984172874177218,0.4110977246549494,-0.033146220029112355,0.1608141608680655,-0.009943670415700876,0.1172429611474388,0.23430191940975736,0.1390084453708535,0.11324286532885257,0.21712944885230903
Churn,-0.019082773336414015,1.0,-0.3494079561039103,0.0847031716266814,0.07663028628053714,0.01867547639867305,0.10793854619598148,0.1054811470663594,0.043931015369586934,0.2501882546970325,-0.010058027943606091,-0.008264006945937007,-0.02869672702744754,-0.16075677737154898,-0.1541181924243505
Tenure,0.02995168763708954,-0.3494079561039103,1.0,-0.06068801291836457,-0.018218299614431454,-0.021225976435741836,-0.023982699136804,-0.013903199231827522,0.23766608747422976,-0.02126761378085514,0.00582549957075566,0.12903460253206084,0.18640270824746483,0.18455224924574826,0.47638037189933985
CityTier,0.0032388613251650186,0.0847031716266814,-0.06068801291836457,1.0,0.01062393070402096,-0.009150386179487316,0.027934249988197758,-0.01155406779984835,-0.029440119409775062,0.0033749571165839587,-0.03140801375307279,0.021455895586515953,0.03338774280726586,0.017525307753997136,0.05574557000862565
WarehouseToHome,0.05890948548877683,0.07663028628053714,-0.018218299614431454,0.01062393070402096,1.0,0.06099016722364162,0.01907126537160814,0.0077224402073128775,-0.011020322031402735,0.028695908350960964,0.038794598156949404,-0.003934838718849209,0.0026808779772188075,0.017829075794370017,-0.009200186683638574
HourSpendOnApp,0.5984172874177218,0.01867547639867305,-0.021225976435741836,-0.009150386179487316,0.06099016722364162,1.0,0.31679957660831387,0.03185800581100459,0.14512609954154804,0.006976156724618138,0.10684305161534201,0.19152752932458658,0.10957476264969723,0.07571590501313837,0.12148969649076984
NumberOfDeviceRegistered,0.4110977246549494,0.10793854619598148,-0.023982699136804,0.027934249988197758,0.01907126537160814,0.31679957660831387,1.0,-0.01722811391290169,0.0849965649409441,0.003406647047461174,0.069475298561935,0.15168543299116824,0.10346423471718702,0.018207662985053587,0.1371829933099803
SatisfactionScore,-0.033146220029112355,0.1054811470663594,-0.013903199231827522,-0.01155406779984835,0.0077224402073128775,0.03185800581100459,-0.01722811391290169,1.0,0.05358284034198294,-0.03111548633122027,-0.027730238984893033,0.01793574777791399,0.019764179541240563,0.0320817792688707,0.0034732347907511165
NumberOfAddress,0.1608141608680655,0.043931015369586934,0.23766608747422976,-0.029440119409775062,-0.011020322031402735,0.14512609954154804,0.0849965649409441,0.05358284034198294,1.0,-0.02639936481022559,0.015533110800323475,0.04211978934236739,-0.007609188882611215,-0.06484698273801047,0.1866881297569522
Complain,-0.009943670415700876,0.2501882546970325,-0.02126761378085514,0.0033749571165839587,0.028695908350960964,0.006976156724618138,0.003406647047461174,-0.03111548633122027,-0.02639936481022559,1.0,-0.004529205899699833,-0.008173857169585503,-0.019307101014360357,-0.043546250804190265,0.0005249742517802705
OrderAmountHikeFromlastYear,0.1172429611474388,-0.010058027943606091,0.00582549957075566,-0.03140801375307279,0.038794598156949404,0.10684305161534201,0.069475298561935,-0.027730238984893033,0.015533110800323475,-0.004529205899699833,1.0,0.03320141146658374,0.023101158340861683,0.006003251731796991,0.017869045542636134
CouponUsed,0.23430191940975736,-0.008264006945937007,0.12903460253206084,0.021455895586515953,-0.003934838718849209,0.19152752932458658,0.15168543299116824,0.01793574777791399,0.04211978934236739,-0.008173857169585503,0.03320141146658374,1.0,0.7452446933125344,0.3589296132092937,0.2867279366025809
OrderCount,0.1390084453708535,-0.02869672702744754,0.18640270824746483,0.03338774280726586,0.0026808779772188075,0.10957476264969723,0.10346423471718702,0.019764179541240563,-0.007609188882611215,-0.019307101014360357,0.023101158340861683,0.7452446933125344,1.0,0.49792849608613515,0.3609836607590099
DaySinceLastOrder,0.11324286532885257,-0.16075677737154898,0.18455224924574826,0.017525307753997136,0.017829075794370017,0.07571590501313837,0.018207662985053587,0.0320817792688707,-0.06484698273801047,-0.043546250804190265,0.006003251731796991,0.3589296132092937,0.49792849608613515,1.0,0.3471717168855359
CashbackAmount,0.21712944885230903,-0.1541181924243505,0.47638037189933985,0.05574557000862565,-0.009200186683638574,0.12148969649076984,0.1371829933099803,0.0034732347907511165,0.1866881297569522,0.0005249742517802705,0.017869045542636134,0.2867279366025809,0.3609836607590099,0.3471717168855359,1.0
